date,rank,title,author,description
2012-11-25,15,NYPD RED,James Patterson and Marshall Karp,Detective Zach Jordan must stop a deranged killer at a New York film festival.
2012-11-25,16,THE BONE BED,Patricia Cornwell,A paleontologist’s disappearance in Canada involves the chief medical examiner Kay Scarpetta; the 20th Scarpetta book.
2012-11-25,17,THE SINS OF THE MOTHER,Danielle Steel,"A successful businesswoman tries to make up for past failings with her children, now grown."
2012-11-25,18,LEAVE ME BREATHLESS,Cherrie Lynn,"Macy Rodgers, a country girl at heart, falls for Seth Warren, a tattoo artist who plays in a heavy metal band."
2012-11-25,19,BARED TO YOU,Sylvia Day,"Eva and Gideon, recovering from difficult pasts, develop an intense, obsessive relationship."
2012-11-25,20,CLOUD ATLAS,David Mitchell,"Six linked stories involve myriad characters and conflicts: from New Zealand in the mid-19th century with a stowaway Moriori, to a Belgian estate in the 1930s, to 1970s California with a plucky journalist."
2012-11-25,1,THE PERFECT HOPE,Nora Roberts,The final volume of the Inn BoonsBoro trilogy sees sparks fly between Ryder Montgomery and the innkeeper.
2012-11-25,2,THE RACKETEER,John Grisham,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.
2012-11-25,3,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler,Dirk Pitt and his team look for the truth about a sophisticated attack submarine.
2012-11-25,4,FIFTY SHADES OF GREY,E L James,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2012-11-25,5,REFLECTED IN YOU,Sylvia Day,"Eva and Gideon, of “Bared to You,” continue to struggle to make their relationship work."
2012-11-25,6,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2012-11-25,7,FIFTY SHADES FREED,E L James,The final book in an erotic trilogy.
2012-11-25,8,FIFTY SHADES DARKER,E L James,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.
2012-11-25,9,FLIGHT BEHAVIOR,Barbara Kingsolver,An Appalachian woman becomes involved in an effort to save monarch butterflies.
2012-11-25,10,THE MARRIAGE MISTAKE,Jennifer Probst,"Max Gray is reluctantly forced to marry Carina Conte, his business partner’s sister, after her mother surprises them in bed; Book 3 in the Marriage to a Billionaire series."
2012-11-25,11,THE SECRET OF ELLA AND MICHA,Jessica Sorensen,"Childhood friends, long separated, get back together."
2012-11-25,12,LIFE OF PI,Yann Martel,A teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck; originally published in 2002 and now a movie.
2012-11-25,13,THE PANTHER,Nelson DeMille,"In Yemen, the anti-terrorist task force agent John Corey and his wife pursue a high-ranking Qaeda operative."
2012-11-25,14,PLUM ISLAND,Nelson DeMille,A detective probes the murder of a Long Island couple who may have been involved in germ warfare research; originally published in 1997.
2012-11-25,15,NYPD RED,James Patterson and Marshall Karp,Detective Zach Jordan must stop a deranged killer at a New York film festival.
2012-11-25,16,THE BONE BED,Patricia Cornwell,A paleontologist’s disappearance in Canada involves the chief medical examiner Kay Scarpetta; the 20th Scarpetta book.
2012-11-25,17,THE SINS OF THE MOTHER,Danielle Steel,"A successful businesswoman tries to make up for past failings with her children, now grown."
2012-11-25,18,LEAVE ME BREATHLESS,Cherrie Lynn,"Macy Rodgers, a country girl at heart, falls for Seth Warren, a tattoo artist who plays in a heavy metal band."
2012-11-25,19,BARED TO YOU,Sylvia Day,"Eva and Gideon, recovering from difficult pasts, develop an intense, obsessive relationship."
2012-11-25,20,CLOUD ATLAS,David Mitchell,"Six linked stories involve myriad characters and conflicts: from New Zealand in the mid-19th century with a stowaway Moriori, to a Belgian estate in the 1930s, to 1970s California with a plucky journalist."
2013-01-27,1,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,The 14th and final novel in the Wheel of Time fantasy series.
2013-01-27,2,HOPELESS,Colleen Hoover,The man who has been relentlessly pursuing Sky Davis is not who he pretends to be.
2013-01-27,3,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-01-27,4,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-01-27,5,FIFTY SHADES OF GREY,E L James,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-01-27,6,COLLATERAL DAMAGE,Stuart Woods,"Back in New York, the lawyer Stone Barrington joins his former partner Holly Barker in pursuing a dangerous case."
2013-01-27,7,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,"A boy and girl, both with tragedy in their past, come together after a chance encounter."
2013-01-27,8,FIFTY SHADES DARKER,E L James,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.
2013-01-27,9,FIFTY SHADES FREED,E L James,The final book in an erotic trilogy.
2013-01-27,10,THE FORGOTTEN,David Baldacci,The military investigator John Puller probes his aunt’s mysterious death in Florida.
2013-01-27,11,SOMEONE TO LOVE,Addison Moore,A one-night stand turns into love for two college students.
2013-01-27,12,THE RACKETEER,John Grisham,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.
2013-01-27,13,TENTH OF DECEMBER,George Saunders,Stories that take on the big questions.
2013-01-27,14,DREAM EYES,Jayne Ann Krentz,"A psychic counselor, returning to a small Oregon town after her mentor’s suspicious death, is drawn to a psychic investigator with disturbing power; a Dark Legacy novel."
2013-01-27,15,THE HUSBAND LIST,Janet Evanovich and Dorien Kelly,"In New York City in 1894, a wealthy young woman yearns for adventure and the love of an Irish-American with new money, rather than the titled Britons to whom her mother hopes to marry her off."
2013-01-27,16,THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,"A hunt for the truth about a shadowy ancient order and a book supposed to have been written in Christ’s own hand; the first book in a series, the Order of the Sanguines."
2013-01-27,17,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-01-27,18,LIFE OF PI,Yann Martel,"An allegory on the high seas, in which a teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck."
2013-01-27,19,THE BLACK BOX,Michael Connelly,"In a case that spans 20 years, the Los Angeles detective Harry Bosch links a recent crime to the killing of a photographer amid the 1992 race riots. "
2013-01-27,20,PRIVATE LONDON,James Patterson and Mark Pearson,"Women are being abducted in London, and two investigators — the former Royal Military Police sergeant Dan Carter and his ex-wife, Kirsty Webb — are in a race against the odds. "
2013-01-27,1,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,The 14th and final novel in the Wheel of Time fantasy series.
2013-01-27,2,HOPELESS,Colleen Hoover,The man who has been relentlessly pursuing Sky Davis is not who he pretends to be.
2013-01-27,3,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-01-27,4,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-01-27,5,FIFTY SHADES OF GREY,E L James,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-01-27,6,COLLATERAL DAMAGE,Stuart Woods,"Back in New York, the lawyer Stone Barrington joins his former partner Holly Barker in pursuing a dangerous case."
2013-01-27,7,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,"A boy and girl, both with tragedy in their past, come together after a chance encounter."
2013-01-27,8,FIFTY SHADES DARKER,E L James,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.
2013-01-27,9,FIFTY SHADES FREED,E L James,The final book in an erotic trilogy.
2013-01-27,10,THE FORGOTTEN,David Baldacci,The military investigator John Puller probes his aunt’s mysterious death in Florida.
2013-01-27,11,SOMEONE TO LOVE,Addison Moore,A one-night stand turns into love for two college students.
2013-01-27,12,THE RACKETEER,John Grisham,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.
2013-01-27,13,TENTH OF DECEMBER,George Saunders,Stories that take on the big questions.
2013-01-27,14,DREAM EYES,Jayne Ann Krentz,"A psychic counselor, returning to a small Oregon town after her mentor’s suspicious death, is drawn to a psychic investigator with disturbing power; a Dark Legacy novel."
2013-01-27,15,THE HUSBAND LIST,Janet Evanovich and Dorien Kelly,"In New York City in 1894, a wealthy young woman yearns for adventure and the love of an Irish-American with new money, rather than the titled Britons to whom her mother hopes to marry her off."
2013-01-27,16,THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,"A hunt for the truth about a shadowy ancient order and a book supposed to have been written in Christ’s own hand; the first book in a series, the Order of the Sanguines."
2013-01-27,17,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-01-27,18,LIFE OF PI,Yann Martel,"An allegory on the high seas, in which a teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck."
2013-01-27,19,THE BLACK BOX,Michael Connelly,"In a case that spans 20 years, the Los Angeles detective Harry Bosch links a recent crime to the killing of a photographer amid the 1992 race riots. "
2013-01-27,20,PRIVATE LONDON,James Patterson and Mark Pearson,"Women are being abducted in London, and two investigators — the former Royal Military Police sergeant Dan Carter and his ex-wife, Kirsty Webb — are in a race against the odds. "
2013-01-27,1,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,The 14th and final novel in the Wheel of Time fantasy series.
2013-01-27,2,HOPELESS,Colleen Hoover,The man who has been relentlessly pursuing Sky Davis is not who he pretends to be.
2013-01-27,3,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-01-27,4,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-01-27,5,FIFTY SHADES OF GREY,E L James,A college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-01-27,6,COLLATERAL DAMAGE,Stuart Woods,"Back in New York, the lawyer Stone Barrington joins his former partner Holly Barker in pursuing a dangerous case."
2013-01-27,7,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,"A boy and girl, both with tragedy in their past, come together after a chance encounter."
2013-01-27,8,FIFTY SHADES DARKER,E L James,Ana Steele learns more about Christian Grey’s troubled past; the second book in a trilogy.
2013-01-27,9,FIFTY SHADES FREED,E L James,The final book in an erotic trilogy.
2013-01-27,10,THE FORGOTTEN,David Baldacci,The military investigator John Puller probes his aunt’s mysterious death in Florida.
2013-01-27,11,SOMEONE TO LOVE,Addison Moore,A one-night stand turns into love for two college students.
2013-01-27,12,THE RACKETEER,John Grisham,An imprisoned ex-lawyer schemes to exchange this information about who murdered a judge for his freedom.
2013-01-27,13,TENTH OF DECEMBER,George Saunders,Stories that take on the big questions.
2013-01-27,14,DREAM EYES,Jayne Ann Krentz,"A psychic counselor, returning to a small Oregon town after her mentor’s suspicious death, is drawn to a psychic investigator with disturbing power; a Dark Legacy novel."
2013-01-27,15,THE HUSBAND LIST,Janet Evanovich and Dorien Kelly,"In New York City in 1894, a wealthy young woman yearns for adventure and the love of an Irish-American with new money, rather than the titled Britons to whom her mother hopes to marry her off."
2013-01-27,16,THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,"A hunt for the truth about a shadowy ancient order and a book supposed to have been written in Christ’s own hand; the first book in a series, the Order of the Sanguines."
2013-01-27,17,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-01-27,18,LIFE OF PI,Yann Martel,"An allegory on the high seas, in which a teenage boy and a 450-pound tiger are thrown together in a lifeboat after a shipwreck."
2013-01-27,19,THE BLACK BOX,Michael Connelly,"In a case that spans 20 years, the Los Angeles detective Harry Bosch links a recent crime to the killing of a photographer amid the 1992 race riots. "
2013-01-27,20,PRIVATE LONDON,James Patterson and Mark Pearson,"Women are being abducted in London, and two investigators — the former Royal Military Police sergeant Dan Carter and his ex-wife, Kirsty Webb — are in a race against the odds. "
2013-03-31,1,"ALEX CROSS, RUN",James Patterson,"While Alex Cross pursues a Washington serial killer (or killers?), someone is after him."
2013-03-31,2,WAIT FOR YOU,J Lynn,"Nineteen-year-old Avery Morgansten hopes she can escape the tragedy in her past when she goes to college, but she begins to receive threats."
2013-03-31,3,THE STORYTELLER,Jodi Picoult,"A New Hampshire baker finds herself in the midst of two Holocaust stories: her grandmother’s story of survival, and the confessions of an elderly German man, an SS officer."
2013-03-31,4,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-03-31,5,SAFE HAVEN,Nicholas Sparks,"A mysterious young woman, while putting down roots in a small North Carolina town, is still haunted by a dark secret from her past."
2013-03-31,6,THREE SISTERS,Susan Mallery,"Three women on Blackberry Island, bound by the strongest of friendships, are at crucial turning points in their lives."
2013-03-31,7,A WEEK IN WINTER,Maeve Binchy,"An unlikely collection of guests gather at an inn by the sea on Ireland’s west coast; the final book by Binchy, who died in 2012. "
2013-03-31,8,MIRROR IMAGE,Sandra Brown,An airplane accident and plastic surgery give a woman an astonishing new life; originally published in 1990. 
2013-03-31,9,BREAKING POINT,C J Box,"The 13th novel featuring Joe Pickett, a Wyoming game warden."
2013-03-31,10,THE HOST,Stephenie Meyer,"In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008."
2013-03-31,11,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-03-31,12,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-03-31,13,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie; originally published in 2009.
2013-03-31,14,LIFE OF PI,Yann Martel,A teenage boy and a 450-pound tiger on a lifeboat after a shipwreck; originally published in 2002 and now a movie.
2013-03-31,15,NEVER TOO FAR,Abbi Glines,Rush and Blaire break up and she returns home to Alabama. Can she ever trust him again?
2013-03-31,16,CALCULATED IN DEATH,J D Robb,"When a successful accountant is murdered, Lt. Eve Dallas, with the help of her wealthy husband, Roarke, must explore the world of high finance to ascertain who would want to kill her; by Nora Roberts, writing pseudonymously.  "
2013-03-31,17,DEFENDING JACOB,William Landay,An assistant district attorney’s life is shaken when his 14-year-old son is accused of murder.
2013-03-31,18,FIFTY SHADES FREED,E L James,"Reunited, Anastasia and Christian face a world of possibilities, and unexpected challenges; the final volume in a trilogy."
2013-03-31,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought; the second book in a trilogy."
2013-03-31,20,BLOODFIRE QUEST,Terry Brooks,"The second book of the Dark Legacy of Shannara, a fantasy trilogy."
2013-03-31,1,"ALEX CROSS, RUN",James Patterson,"While Alex Cross pursues a Washington serial killer (or killers?), someone is after him."
2013-03-31,2,WAIT FOR YOU,J Lynn,"Nineteen-year-old Avery Morgansten hopes she can escape the tragedy in her past when she goes to college, but she begins to receive threats."
2013-03-31,3,THE STORYTELLER,Jodi Picoult,"A New Hampshire baker finds herself in the midst of two Holocaust stories: her grandmother’s story of survival, and the confessions of an elderly German man, an SS officer."
2013-03-31,4,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-03-31,5,SAFE HAVEN,Nicholas Sparks,"A mysterious young woman, while putting down roots in a small North Carolina town, is still haunted by a dark secret from her past."
2013-03-31,6,THREE SISTERS,Susan Mallery,"Three women on Blackberry Island, bound by the strongest of friendships, are at crucial turning points in their lives."
2013-03-31,7,A WEEK IN WINTER,Maeve Binchy,"An unlikely collection of guests gather at an inn by the sea on Ireland’s west coast; the final book by Binchy, who died in 2012. "
2013-03-31,8,MIRROR IMAGE,Sandra Brown,An airplane accident and plastic surgery give a woman an astonishing new life; originally published in 1990. 
2013-03-31,9,BREAKING POINT,C J Box,"The 13th novel featuring Joe Pickett, a Wyoming game warden."
2013-03-31,10,THE HOST,Stephenie Meyer,"In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008."
2013-03-31,11,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-03-31,12,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-03-31,13,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie; originally published in 2009.
2013-03-31,14,LIFE OF PI,Yann Martel,A teenage boy and a 450-pound tiger on a lifeboat after a shipwreck; originally published in 2002 and now a movie.
2013-03-31,15,NEVER TOO FAR,Abbi Glines,Rush and Blaire break up and she returns home to Alabama. Can she ever trust him again?
2013-03-31,16,CALCULATED IN DEATH,J D Robb,"When a successful accountant is murdered, Lt. Eve Dallas, with the help of her wealthy husband, Roarke, must explore the world of high finance to ascertain who would want to kill her; by Nora Roberts, writing pseudonymously.  "
2013-03-31,17,DEFENDING JACOB,William Landay,An assistant district attorney’s life is shaken when his 14-year-old son is accused of murder.
2013-03-31,18,FIFTY SHADES FREED,E L James,"Reunited, Anastasia and Christian face a world of possibilities, and unexpected challenges; the final volume in a trilogy."
2013-03-31,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought; the second book in a trilogy."
2013-03-31,20,BLOODFIRE QUEST,Terry Brooks,"The second book of the Dark Legacy of Shannara, a fantasy trilogy."
2013-03-31,1,"ALEX CROSS, RUN",James Patterson,"While Alex Cross pursues a Washington serial killer (or killers?), someone is after him."
2013-03-31,2,WAIT FOR YOU,J Lynn,"Nineteen-year-old Avery Morgansten hopes she can escape the tragedy in her past when she goes to college, but she begins to receive threats."
2013-03-31,3,THE STORYTELLER,Jodi Picoult,"A New Hampshire baker finds herself in the midst of two Holocaust stories: her grandmother’s story of survival, and the confessions of an elderly German man, an SS officer."
2013-03-31,4,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-03-31,5,SAFE HAVEN,Nicholas Sparks,"A mysterious young woman, while putting down roots in a small North Carolina town, is still haunted by a dark secret from her past."
2013-03-31,6,THREE SISTERS,Susan Mallery,"Three women on Blackberry Island, bound by the strongest of friendships, are at crucial turning points in their lives."
2013-03-31,7,A WEEK IN WINTER,Maeve Binchy,"An unlikely collection of guests gather at an inn by the sea on Ireland’s west coast; the final book by Binchy, who died in 2012. "
2013-03-31,8,MIRROR IMAGE,Sandra Brown,An airplane accident and plastic surgery give a woman an astonishing new life; originally published in 1990. 
2013-03-31,9,BREAKING POINT,C J Box,"The 13th novel featuring Joe Pickett, a Wyoming game warden."
2013-03-31,10,THE HOST,Stephenie Meyer,"In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008."
2013-03-31,11,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-03-31,12,FALLEN TOO FAR,Abbi Glines,"A sheltered 19-year-old girl falls in love with her spoiled, sexy stepbrother."
2013-03-31,13,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie; originally published in 2009.
2013-03-31,14,LIFE OF PI,Yann Martel,A teenage boy and a 450-pound tiger on a lifeboat after a shipwreck; originally published in 2002 and now a movie.
2013-03-31,15,NEVER TOO FAR,Abbi Glines,Rush and Blaire break up and she returns home to Alabama. Can she ever trust him again?
2013-03-31,16,CALCULATED IN DEATH,J D Robb,"When a successful accountant is murdered, Lt. Eve Dallas, with the help of her wealthy husband, Roarke, must explore the world of high finance to ascertain who would want to kill her; by Nora Roberts, writing pseudonymously.  "
2013-03-31,17,DEFENDING JACOB,William Landay,An assistant district attorney’s life is shaken when his 14-year-old son is accused of murder.
2013-03-31,18,FIFTY SHADES FREED,E L James,"Reunited, Anastasia and Christian face a world of possibilities, and unexpected challenges; the final volume in a trilogy."
2013-03-31,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought; the second book in a trilogy."
2013-03-31,20,BLOODFIRE QUEST,Terry Brooks,"The second book of the Dark Legacy of Shannara, a fantasy trilogy."
2013-06-02,1,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2013-06-02,2,THE HIT,David Baldacci,The government hitman Will Robie uncovers a serious threat as he attempts to take out a fellow assassin who has gone rogue. 
2013-06-02,3,EYES WIDE OPEN,Raine Miller,Demons from the past threaten to destroy the passionate bond of Ethan and Brynne. Book 3 of the Blackstone Affair series.
2013-06-02,4,12TH OF NEVER,James Patterson and Maxine Paetro,"A week after giving birth, Detective Lindsay Boxer returns to work to investigate some grisly murders."
2013-06-02,5,DEAD EVER AFTER,Charlaine Harris,The last book in the series about the telepathic waitress Sookie Stackhouse.
2013-06-02,6,SILKEN PREY,John Sandford,Lucas Davenport is drawn into the investigation of a Minnesota political scandal and the disappearance of an operative.
2013-06-02,7,WHISKEY BEACH,Nora Roberts,"A former criminal attorney who has been acquitted of his wife’s murder retreats to his family estate on a rocky New England cliff, where he is comforted by the house’s caretaker amid continuing danger."
2013-06-02,8,DON'T SAY A WORD,Barbara Freethy,A reckless photographer helps a woman delve into the mysteries of her past.
2013-06-02,9,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-06-02,10,THE BET,Rachel Van Dyken,A Seattle millionaire asks a childhood friend to pretend to be engaged to him. But she reckoned without his brother.
2013-06-02,11,THE ARRANGEMENT 7,HM Ward,"When Avery learns Sean’s dark secret, everything changes."
2013-06-02,12,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie.
2013-06-02,13,ENDER'S GAME,Orson Scott Card,Government agencies breed child geniuses and train them as soldiers.
2013-06-02,14,LEFT TO DIE,Lisa Jackson,The detectives Selena Alvarez and Regan Pescoli investigate a series of sadistic killings.
2013-06-02,15,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-06-02,16,UNTIL I BREAK,M Leighton,An author of paranormal romances meets a man who seems to incarnate her fictional broken hero.
2013-06-02,17,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2013-06-02,18,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-06-02,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought."
2013-06-02,20,FRENCH SILK,Sandra Brown,The ordeal of a New Orleans woman suspected of killing a television evangelist.
2013-06-02,1,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2013-06-02,2,THE HIT,David Baldacci,The government hitman Will Robie uncovers a serious threat as he attempts to take out a fellow assassin who has gone rogue. 
2013-06-02,3,EYES WIDE OPEN,Raine Miller,Demons from the past threaten to destroy the passionate bond of Ethan and Brynne. Book 3 of the Blackstone Affair series.
2013-06-02,4,12TH OF NEVER,James Patterson and Maxine Paetro,"A week after giving birth, Detective Lindsay Boxer returns to work to investigate some grisly murders."
2013-06-02,5,DEAD EVER AFTER,Charlaine Harris,The last book in the series about the telepathic waitress Sookie Stackhouse.
2013-06-02,6,SILKEN PREY,John Sandford,Lucas Davenport is drawn into the investigation of a Minnesota political scandal and the disappearance of an operative.
2013-06-02,7,WHISKEY BEACH,Nora Roberts,"A former criminal attorney who has been acquitted of his wife’s murder retreats to his family estate on a rocky New England cliff, where he is comforted by the house’s caretaker amid continuing danger."
2013-06-02,8,DON'T SAY A WORD,Barbara Freethy,A reckless photographer helps a woman delve into the mysteries of her past.
2013-06-02,9,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-06-02,10,THE BET,Rachel Van Dyken,A Seattle millionaire asks a childhood friend to pretend to be engaged to him. But she reckoned without his brother.
2013-06-02,11,THE ARRANGEMENT 7,HM Ward,"When Avery learns Sean’s dark secret, everything changes."
2013-06-02,12,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie.
2013-06-02,13,ENDER'S GAME,Orson Scott Card,Government agencies breed child geniuses and train them as soldiers.
2013-06-02,14,LEFT TO DIE,Lisa Jackson,The detectives Selena Alvarez and Regan Pescoli investigate a series of sadistic killings.
2013-06-02,15,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-06-02,16,UNTIL I BREAK,M Leighton,An author of paranormal romances meets a man who seems to incarnate her fictional broken hero.
2013-06-02,17,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2013-06-02,18,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-06-02,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought."
2013-06-02,20,FRENCH SILK,Sandra Brown,The ordeal of a New Orleans woman suspected of killing a television evangelist.
2013-06-02,1,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2013-06-02,2,THE HIT,David Baldacci,The government hitman Will Robie uncovers a serious threat as he attempts to take out a fellow assassin who has gone rogue. 
2013-06-02,3,EYES WIDE OPEN,Raine Miller,Demons from the past threaten to destroy the passionate bond of Ethan and Brynne. Book 3 of the Blackstone Affair series.
2013-06-02,4,12TH OF NEVER,James Patterson and Maxine Paetro,"A week after giving birth, Detective Lindsay Boxer returns to work to investigate some grisly murders."
2013-06-02,5,DEAD EVER AFTER,Charlaine Harris,The last book in the series about the telepathic waitress Sookie Stackhouse.
2013-06-02,6,SILKEN PREY,John Sandford,Lucas Davenport is drawn into the investigation of a Minnesota political scandal and the disappearance of an operative.
2013-06-02,7,WHISKEY BEACH,Nora Roberts,"A former criminal attorney who has been acquitted of his wife’s murder retreats to his family estate on a rocky New England cliff, where he is comforted by the house’s caretaker amid continuing danger."
2013-06-02,8,DON'T SAY A WORD,Barbara Freethy,A reckless photographer helps a woman delve into the mysteries of her past.
2013-06-02,9,GONE GIRL,Gillian Flynn,A woman disappears on the day of her fifth anniversary; is her husband a killer?
2013-06-02,10,THE BET,Rachel Van Dyken,A Seattle millionaire asks a childhood friend to pretend to be engaged to him. But she reckoned without his brother.
2013-06-02,11,THE ARRANGEMENT 7,HM Ward,"When Avery learns Sean’s dark secret, everything changes."
2013-06-02,12,THE SILVER LININGS PLAYBOOK,Matthew Quick,A man recently released from a mental institution has two obsessions: his estranged wife and the Philadelphia Eagles. The basis of the movie.
2013-06-02,13,ENDER'S GAME,Orson Scott Card,Government agencies breed child geniuses and train them as soldiers.
2013-06-02,14,LEFT TO DIE,Lisa Jackson,The detectives Selena Alvarez and Regan Pescoli investigate a series of sadistic killings.
2013-06-02,15,FIFTY SHADES OF GREY,E L James,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.
2013-06-02,16,UNTIL I BREAK,M Leighton,An author of paranormal romances meets a man who seems to incarnate her fictional broken hero.
2013-06-02,17,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2013-06-02,18,SAFE HAVEN,Nicholas Sparks,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.
2013-06-02,19,FIFTY SHADES DARKER,E L James,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought."
